personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
75,75,75,female,0,100-500k,2,TRUE,75,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,75,FALSE,TRUE,Pozyt,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,1
76,76,76,male,1,0,2,TRUE,76,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,76,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2
77,77,77,male,1,500k+,4,TRUE,77,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,77,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
78,78,78,other,0,500k+,2,TRUE,78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,78,FALSE,TRUE,Negat,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,2
79,79,79,male,0,500k+,2,TRUE,79,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,79,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,IDK,2
80,80,80,male,0,500k+,2,TRUE,80,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,80,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,IDK,2
81,81,81,male,1,500k+,2,TRUE,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,81,FALSE,TRUE,Negat,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0
82,82,82,female,0,500k+,2,TRUE,82,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,82,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
83,83,83,female,1,0,4,TRUE,83,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,83,FALSE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3
84,84,84,male,1,50-100k,4,TRUE,84,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,84,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
85,85,85,male,1,0,4,TRUE,85,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,85,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3
86,86,86,male,0,500k+,0,TRUE,86,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,86,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,3
87,87,87,male,0,500k+,0,TRUE,87,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,87,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,3
88,88,88,female,1,500k+,2,TRUE,88,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,88,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3
89,89,89,female,0,500k+,0,TRUE,89,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,89,FALSE,TRUE,Pozyt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,IDK,0
90,90,90,female,1,500k+,4,TRUE,90,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,90,TRUE,TRUE,Pozyt,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3
91,91,91,male,1,500k+,4,TRUE,91,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,91,TRUE,TRUE,Neutr,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,3
92,92,92,female,1,100-500k,4,TRUE,92,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,92,FALSE,TRUE,Neutr,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
93,93,93,female,1,100-500k,4,TRUE,93,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,93,FALSE,TRUE,Neutr,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
94,94,94,female,1,500k+,4,TRUE,94,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,94,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,2
95,95,95,female,1,500k+,2,TRUE,95,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,95,FALSE,TRUE,Neutr,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3
96,96,96,female,1,500k+,5,TRUE,96,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,96,TRUE,TRUE,Pozyt,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2
97,97,97,male,1,100-500k,3,TRUE,97,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,97,TRUE,TRUE,Pozyt,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,3
98,98,98,male,1,500k+,5,TRUE,98,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,98,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
99,99,99,female,1,0-50k,2,TRUE,99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,0
100,100,100,male,1,500k+,4,TRUE,100,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,100,TRUE,TRUE,Negat,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,IDK,1
101,101,101,male,1,0-50k,4,TRUE,101,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,101,TRUE,TRUE,Neutr,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,3
102,102,102,female,1,50-100k,5,TRUE,102,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,102,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,IDK,2
103,103,103,female,1,500k+,4,TRUE,103,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,103,TRUE,TRUE,Neutr,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
104,104,104,female,1,500k+,4,TRUE,104,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,104,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,1
105,105,105,male,1,0,4,TRUE,105,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,105,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,0
106,106,106,male,1,500k+,4,TRUE,106,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,106,TRUE,TRUE,Pozyt,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,IDK,2
107,107,107,female,1,500k+,2,TRUE,107,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,107,FALSE,TRUE,Pozyt,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3
108,108,108,male,1,500k+,4,TRUE,108,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,108,TRUE,FALSE,Negat,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,IDK,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,IDK,1
109,109,109,male,1,500k+,5,TRUE,109,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,109,TRUE,TRUE,Pozyt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3
110,110,110,male,1,0-50k,1,TRUE,110,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,110,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,IDK,3
111,111,111,male,1,500k+,4,TRUE,111,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,111,FALSE,TRUE,Neutr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3
112,112,112,male,1,50-100k,2,TRUE,112,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,112,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2
