personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
18,18,18,male,1,500k+,4,TRUE,18,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,18,FALSE,TRUE,Pozyt,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,2
19,19,19,male,1,50-100k,4,TRUE,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,19,TRUE,TRUE,Negat,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,IDK,1
20,20,20,female,1,500k+,4,TRUE,20,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,2
21,21,21,male,1,100-500k,2,TRUE,21,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,21,TRUE,TRUE,Pozyt,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2
22,22,22,female,1,100-500k,4,TRUE,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,22,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3
23,23,23,male,1,500k+,4,TRUE,23,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,23,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0
24,24,24,male,1,100-500k,4,TRUE,24,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,24,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3
25,25,25,male,1,0-50k,4,TRUE,25,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,25,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,1
26,26,26,female,1,500k+,4,TRUE,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,26,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2
27,27,27,female,1,0-50k,4,TRUE,27,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,27,TRUE,FALSE,Negat,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
